排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
494,病原体防治,BK1657,966.34,-37.98,-3.78,1714520240000,3.95,7,159,汉森制药,10.04
495,独家药品,BK0676,2411.99,-95.8,-3.82,666382448000,2.09,0,43,华邦健康,-0.22
496,重组蛋白,BK1063,1051.15,-42.96,-3.93,373998080000,3.11,1,30,近岸蛋白,20.0
497,创新药,BK1106,1490.05,-61.65,-3.97,4026258608000,3.19,8,189,键凯科技,20.0
498,CAR-T细胞疗法,BK0986,1273.25,-54.15,-4.08,817446688000,4.21,2,23,三元基因,10.06
499,单抗概念,BK0870,1719.1,-74.97,-4.18,1678167744000,3.43,2,47,双鹭药业,9.94
500,粮食概念,BK1086,719.87,-32.42,-4.31,350269968000,3.64,1,33,华资实业,0.57
501,CRO,BK0899,2293.57,-104.47,-4.36,1147367760000,4.02,1,47,近岸蛋白,20.0
502,减肥药,BK1146,1280.74,-61.32,-4.57,947325120000,2.97,1,40,双鹭药业,9.94
503,SPD概念,BK1147,969.15,-47.61,-4.68,144678855000,2.13,0,14,国药一致,-1.36
504,转基因,BK0907,1363.49,-69.24,-4.83,127846564000,2.92,1,16,新安股份,0.47
