板块,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,所属行业
主板,002348,高乐股份,2010-02-03,"993,139,200","903,532,999",C 制造业
主板,002349,精华制药,2010-02-03,"831,128,308","814,180,908",C 制造业
主板,002350,北京科锐,2010-02-03,"542,331,351","530,551,471",C 制造业
主板,002351,漫步者,2010-02-05,"889,107,000","527,470,175",C 制造业
主板,002352,顺丰控股,2010-02-05,"4,799,430,409","4,799,115,259",G 运输仓储
主板,002353,杰瑞股份,2010-02-05,"1,023,855,833","691,045,415",C 制造业
主板,002354,天娱数科,2010-02-09,"1,654,585,820","1,626,806,279",I 信息技术
主板,002355,兴民智通,2010-02-09,"668,481,000","618,165,300",C 制造业
主板,002356,鹏飞绿能,2010-02-09,"1,311,254,521","1,311,254,521",F 批发零售
主板,002357,富临运业,2010-02-10,"313,489,036","313,477,786",G 运输仓储
主板,002358,森源电气,2010-02-10,"929,756,977","929,755,702",C 制造业
主板,002360,ST同德,2010-03-03,"401,774,248","308,500,304",C 制造业
主板,002361,神剑股份,2010-03-03,"951,034,969","951,034,969",C 制造业
主板,002362,汉王科技,2010-03-03,"244,454,646","207,690,172",C 制造业
主板,002363,隆基机械,2010-03-05,"416,100,301","415,919,042",C 制造业
主板,002364,中恒电气,2010-03-05,"563,564,960","558,156,935",C 制造业
主板,002365,永安药业,2010-03-05,"294,682,500","245,642,601",C 制造业
主板,002366,融发核电,2010-03-12,"2,080,937,640","1,850,601,125",C 制造业
主板,002367,康力电梯,2010-03-12,"797,745,456","794,844,231",C 制造业
主板,002368,太极股份,2010-03-12,"623,231,286","621,576,571",I 信息技术
主板,002369,卓翼科技,2010-03-16,"566,956,280","566,956,280",C 制造业
主板,002370,亚太药业,2010-03-16,"745,667,530","745,622,530",C 制造业
主板,002371,北方华创,2010-03-16,"725,689,200","725,085,683",C 制造业
主板,002372,伟星新材,2010-03-18,"1,592,037,988","1,470,108,934",C 制造业
主板,002373,千方科技,2010-03-18,"1,580,188,215","1,377,594,126",I 信息技术
主板,002374,中锐股份,2010-03-18,"1,085,209,283","1,085,209,283",C 制造业
主板,002375,亚厦股份,2010-03-23,"1,339,996,498","1,330,996,461",E 建筑业
主板,002376,新北洋,2010-03-23,"810,562,541","787,464,555",C 制造业
主板,002377,国创高新,2010-03-23,"916,325,201","872,447,921",C 制造业
主板,002378,章源钨业,2010-03-31,"1,201,417,666","1,195,897,946",C 制造业
主板,002379,宏桥控股,2010-03-31,"13,031,118,202","1,136,373,753",C 制造业
主板,002380,科远智慧,2010-03-31,"239,991,649","142,203,990",I 信息技术
主板,002381,双箭股份,2010-04-02,"411,577,920","322,026,500",C 制造业
主板,002382,蓝帆医疗,2010-04-02,"1,007,590,726","997,780,889",C 制造业
主板,002383,合众思壮,2010-04-02,"740,360,305","740,360,305",C 制造业
主板,002384,东山精密,2010-04-09,"1,831,607,532","1,386,321,723",C 制造业
主板,002385,大北农,2010-04-09,"4,280,371,965","3,565,612,571",C 制造业
主板,002386,天原股份,2010-04-09,"1,301,647,073","1,301,385,155",C 制造业
主板,002387,维信诺,2010-04-13,"1,396,796,043","1,394,996,343",C 制造业
主板,002388,新亚制程,2010-04-13,"506,534,220","506,322,045",C 制造业
主板,002389,航天彩虹,2010-04-13,"984,916,021","984,767,026",C 制造业
主板,002390,信邦制药,2010-04-16,"1,943,851,868","1,927,818,234",F 批发零售
主板,002391,长青股份,2010-04-16,"649,592,550","464,098,311",C 制造业
