date,open,close,high,low,volume,amount,rsi14,macd,macd_signal,macd_hist,ma5,ma10,ma20,bb_upper,bb_middle,bb_lower,atr14,vol_ma20,ma60
2026-02-27,2.215,2.307,2.31,2.211,3511760,798995211.0,67.39393939393939,0.0649105571136194,0.0438885201959711,0.0210220369176483,2.1858,2.1165000000000003,2.083,2.283058938683998,2.083,1.8829410613160025,0.0780714285714286,2007879.75,
2026-03-02,2.312,2.301,2.319,2.237,3156515,721165871.0,76.26886145404669,0.0733977840871862,0.0497903729742141,0.023607411112972,2.2332,2.1508,2.0924000000000005,2.314812040567666,2.0924000000000005,1.8699879594323352,0.0765,2104872.05,
2026-03-03,2.286,2.143,2.289,2.139,6399489,1423991986.0,58.25977301387137,0.0666068903019496,0.0531536764397612,0.0134532138621883,2.2404,2.1629,2.09365,2.3169470879202936,2.09365,1.8703529120797069,0.0813571428571428,2361134.3,
2026-03-04,2.101,2.17,2.225,2.094,4607886,1005532436.0,59.63414634146341,0.062681182745973,0.0550591777010036,0.0076220050449693,2.2274000000000003,2.1758,2.0979,2.323725176909739,2.0979,1.8720748230902613,0.0879285714285714,2520463.05,
2026-03-05,2.193,2.161,2.214,2.137,2475996,537296345.0,65.63758389261746,0.0581732217520198,0.0556819865112068,0.002491235240813,2.2164,2.1832000000000003,2.099,2.3258799821839475,2.099,1.872120017816052,0.0863571428571429,2575539.95,
2026-03-06,2.144,2.142,2.18,2.12,1771804,379603043.0,62.53405994550408,0.052462731266706,0.0550381354623067,-0.0025754041956006,2.1834,2.1846,2.0986,2.3251293288784134,2.0986,1.872070671121587,0.0838571428571429,2513259.7,
2026-03-09,2.119,2.118,2.128,2.049,1885931,394205556.0,56.91642651296832,0.0454763044617827,0.0531257692622019,-0.0076494648004191,2.1468,2.1900000000000004,2.1035,2.327091262422256,2.1035,1.8799087375777448,0.0851428571428571,2475230.25,
2026-03-10,2.126,2.141,2.156,2.123,1276404,273012988.0,57.16332378223497,0.0413191175979621,0.0507644389293539,-0.0094453213313918,2.1464000000000003,2.1934,2.11465,2.3208571263253703,2.11465,1.90844287367463,0.0852857142857143,2421610.5,
2026-03-11,2.133,2.121,2.151,2.109,1060530,225313098.0,52.52976190476189,0.0359957476323136,0.0478107006699459,-0.0118149530376322,2.1366,2.182,2.1201,2.320565668408645,2.1201,1.9196343315913544,0.0822857142857143,2356535.0,
2026-03-12,2.111,2.115,2.127,2.076,2977330,626221029.0,48.97959183673471,0.0309361757488875,0.0444357956857342,-0.0134996199368467,2.1274,2.1719,2.1252500000000003,2.3192091655342315,2.1252500000000003,1.9312908344657689,0.0818571428571428,2452333.5,
2026-03-13,2.103,2.068,2.13,2.061,1935596,404508948.0,50.322580645161295,0.0228702869427972,0.0401226939371468,-0.0172524069943495,2.1126,2.148,2.13225,2.3052031424221098,2.13225,1.9592968575778904,0.0820714285714285,2484616.9,
2026-03-16,2.06,2.023,2.068,1.993,3013238,605825243.0,43.24758842443728,0.0127004847506437,0.0346382520998462,-0.0219377673492024,2.0936,2.1202,2.1355,2.296710552090307,2.1355,1.9742894479096933,0.0829285714285714,2567096.0,
2026-03-17,2.023,1.968,2.035,1.966,1734918,345013881.0,25.683060109289627,0.0002004917539348,0.0277507000306639,-0.027550208276729,2.059,2.1027,2.1328,2.303541540593404,2.1328,1.9620584594065964,0.077,2596997.35,
2026-03-18,1.964,1.98,1.984,1.934,1368851,268481106.0,28.228782287822867,-0.0086379699016512,0.0204729660442009,-0.0291109359458521,2.0308,2.0837,2.12975,2.309345891407696,2.12975,1.9501541085923044,0.0784285714285714,2610641.9,
2026-03-19,1.943,1.887,1.943,1.876,2110859,403389122.0,11.397058823529449,-0.0228830555873482,0.011801761717891,-0.0346848173052393,1.9852000000000003,2.0563,2.11975,2.329165100244765,2.11975,1.910334899755236,0.0787857142857143,2585781.15,
2026-03-20,1.882,1.849,1.905,1.848,1588800,299516282.0,10.763888888888928,-0.0368142987247197,0.0020785496293689,-0.0388928483540886,1.9414,2.027,2.1058,2.3475720544558207,2.1058,1.864027945544179,0.077,2498184.35,
2026-03-23,1.806,1.79,1.866,1.78,3064348,561630834.0,12.99790356394135,-0.0520161068953131,-0.0087403816755674,-0.0432757252197456,1.8948,1.9942,2.0921,2.371905872554149,2.0921,1.812294127445851,0.0715714285714285,2575959.15,
2026-03-24,1.823,1.824,1.828,1.757,2773701,497434442.0,14.256198347107471,-0.0606213286028112,-0.0191165710610162,-0.0415047575417949,1.866,1.9625,2.0779500000000004,2.3821434806734194,2.0779500000000004,1.7737565193265812,0.0672857142857143,2648652.7,
2026-03-25,1.84,1.876,1.878,1.84,1072749,199756719.0,22.96015180265654,-0.062524321922329,-0.0277981212332787,-0.0347262006890502,1.8452,1.938,2.06,2.367523212645467,2.06,1.752476787354533,0.0656428571428571,2495567.0,
2026-03-26,1.874,1.848,1.882,1.838,1138129,212323674.0,22.574626865671647,-0.0655363614527506,-0.0353457692771731,-0.0301905921755774,1.8374,1.9113,2.0416,2.3538235366562,2.0416,1.7293764633438005,0.0644999999999999,2446241.7,2.01535
2026-03-27,1.819,1.886,1.899,1.814,1523439,285018738.0,28.90909090909089,-0.0641180293304,-0.0411002212878185,-0.0230178080425814,1.8448,1.8931,2.02055,2.3136132947621424,2.02055,1.7274867052378575,0.0639285714285714,2346825.65,2.0173833333333335
2026-03-30,1.87,1.876,1.883,1.842,1380282,256502068.0,25.325884543761603,-0.0630738314643946,-0.0454949433231337,-0.0175788881412608,1.862,1.8784,1.9993,2.267302435181396,1.9993,1.7312975648186038,0.0643571428571428,2258014.0,2.0191
2026-03-31,1.873,1.846,1.888,1.843,1602504,298552281.0,24.86288848263252,-0.0639301000142262,-0.0491819746613522,-0.014748125352874,1.8664,1.8662,1.9844500000000005,2.2518393081356547,1.9844500000000005,1.7170606918643458,0.0645714285714285,2018164.75,2.0199833333333332
2026-04-01,1.877,1.869,1.88,1.85,758574,141375711.0,28.19148936170208,-0.062037659704103,-0.0517531116699024,-0.0102845480342006,1.865,1.8551,1.9694000000000005,2.226501577304832,1.9694000000000005,1.7122984226951683,0.0633571428571428,1825699.15,2.020966666666667
